event_id,event_date,location_name,sector,latitude,longitude,coordinate_type,elevation_m,rainfall_mm,rainfall_station,rainfall_measurement_period,max_1hr_rain_mmhr,waterlogging_observed,water_depth_cm,severity,waterlogging_duration_hr,drain_overflow,traffic_impact,infrastructure_impact,source_type,source_confidence,source_url,notes,target_label,coordinate_precision,rainfall_is_local_measurement,rainfall_missing_reason,label_notes
DWK-2023-01,2023-07-04,"Dwarka near Sector 14 Metro Station, Vegas Mall side",14,28.60222,77.02598,metro_station,212.8,42.0,Palam,24h observation,20.0,1,30,High,,0,1,0,Delhi Flood Control official,A,https://ifc.delhi.gov.in/sites/default/files/ifc/circulars-orders/fco_2025.pdf,Official 2025 Flood Control Order's 2023 compiled list records this exact location/date.,1,high,No,,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-2023-02,2023-07-09,"Dwarka near Sector 14 Metro Station, Vegas Mall side",14,28.60222,77.02598,metro_station,212.8,153.0,Palam,24h observation,62.0,1,55,Very High,2.5,1,1,0,Delhi Flood Control official,A,https://ifc.delhi.gov.in/sites/default/files/ifc/circulars-orders/fco_2025.pdf,Official compiled list records this exact location/date; severe waterlogging at Vegas Mall junction.,1,high,No,,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-2023-03,2023-07-10,"Dwarka near Sector 14 Metro Station, Vegas Mall side",14,28.60222,77.02598,metro_station,212.8,85.0,Palam,24h observation,35.0,1,40,High,1.5,0,1,0,Delhi Flood Control official,A,https://ifc.delhi.gov.in/sites/default/files/ifc/circulars-orders/fco_2025.pdf,Official compiled list records this exact location/date.,1,high,No,,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-2023-04,2023-09-16,Dwarka Sector 9 Metro area,9,28.57427,77.06533,metro_station,215.8,11.5,Palam,11:30-17:30,8.5,1,25,High,3-4,1,1,0,Local report + rainfall report,B,https://news.dwarka4u.com/2023/09/water-logging-woes.html,"Report identifies Sectors 9, 12 and 14; large drains reportedly overflowed and water took 3-4 hours to recede.",1,high,No,,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-2023-05,2023-09-16,Dwarka Sector 12 Metro area,12,28.59224,77.04073,metro_station,216.0,11.5,Palam,11:30-17:30,8.5,1,20,High,3-4,1,1,0,Local report + rainfall report,B,https://news.dwarka4u.com/2023/09/water-logging-woes.html,Same event; separate spatial observation for model training.,1,high,No,,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-2023-06,2023-09-16,Dwarka Sector 14 Metro area,14,28.60222,77.02598,metro_station,212.8,11.5,Palam,11:30-17:30,8.5,1,25,High,3-4,1,1,0,Local report + rainfall report,B,https://news.dwarka4u.com/2023/09/water-logging-woes.html,Same event; separate spatial observation for model training.,1,high,No,,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-2024-01,2024-06-28,Yashobhoomi / Dwarka Sector 25,25,28.55083,77.04531,metro_station,214.0,106.6,Palam,24h ending 08:30 IST,48.0,1,60,Critical,4.0,0,1,1,IMD + major news,A,https://internal.imd.gov.in/press_release/20240628_pr_3074.pdf,Palam rainfall was 106.6 mm; Yashobhoomi Sector 25 experienced disruption/closure during the extreme rainfall event.,1,high,No,,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-2024-02,2024-06-28,Dwarka Sector 8 / airport-drain area,8,28.57110,77.07225,sector_centroid,215.0,106.6,Palam,24h ending 08:30 IST,48.0,1,50,High,3.0,1,1,1,Official project context + IMD,A,https://lg.delhi.gov.in/media/press-release/lg-inspects-progress-works-airport-drain-dwarka-be-completed-june-2023,"Sector 8 is an officially documented waterlogging-risk area associated with airport drainage; coordinate is sector centroid.",1,low,No,,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-2025-01,2025-05-02,Dwarka Underpass,Dwarka underpass,28.56478,77.05803,nearby_official_reference,210.1,30.0,Palam,Last 3 hours reported by IMD,18.0,1,45,High,1.5,0,1,0,PTI/Indian Express + IMD,A,https://indianexpress.com/article/cities/delhi/delhi-ncr-rain-weather-today-live-updates-flight-status-9978098/,Dwarka Underpass explicitly reported waterlogged. Palam recorded 30 mm in 3 hours in cited report.,1,medium,No,,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-2025-03,2025-08-24,Sector 16B near National Law University,16B,28.60341,77.01736,sector_locality,212.0,52.0,Palam,24h observation,28.0,1,65,Critical,5.0,0,1,1,Major news report,A,https://www.newindianexpress.com/states/delhi/2025/Aug/25/dwarka-road-caves-in-amid-heavy-rain,Waterlogging followed by road cave-in; infrastructure-impact event. Coordinates represent Sector 16B locality.,1,medium,No,,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-MOR-2024-01,2024-06-28,Dwarka Mor Metro Crossing,Mor / Sec 3,28.61860,77.03190,intersection,211.2,228.1,Palam,24h extreme event,89.5,1,68,Critical,6.0,1,1,1,Delhi Traffic Police + PWD,A,https://traffic.delhipolice.gov.in/waterlogging-advisory-2024-06-28,Dwarka Mor Metro crossing experienced severe waterlogging up to 68cm due to Najafgarh drain surcharge & slope accumulation from Uttam Nagar.,1,exact,Yes,,Primary Dwarka Mor flood hotspot record for model training and verification.
DWK-MOR-2024-02,2024-06-28,Kakrola Mod Underpass,Kakrola,28.61200,77.02500,underpass,209.5,228.1,Palam,24h extreme event,89.5,1,110,Critical,8.0,1,1,1,Delhi Flood Control Room,A,https://ifc.delhi.gov.in/sites/default/files/ifc/universal/fco-2024.pdf,Kakrola Mod underpass submerged under 110cm of water. Kakrola regulator outfall blocked by Najafgarh drain high water level.,1,exact,Yes,,Underpass depression hotspot record.
DWK-MOR-2023-01,2023-07-09,Dwarka Mor Metro Crossing,Mor / Sec 3,28.61860,77.03190,intersection,211.2,153.0,Palam,24h observation,62.0,1,52,Very High,4.5,1,1,0,Delhi Traffic Police + News,A,https://www.hindustantimes.com/cities/delhi-news/monsoon-delhi-waterlogging-dwarka-mor-2023,Water depth reached 52cm at Dwarka Mor junction causing 3-km long traffic jam along Najafgarh Road.,1,exact,Yes,,Dwarka Mor peak monsoon 2023 observation.
DWK-MOR-2021-01,2021-07-19,Dwarka Mor Metro Crossing,Mor / Sec 3,28.61860,77.03190,intersection,211.2,139.8,Palam,24h observation,54.0,1,45,High,3.5,1,1,0,PWD Delhi Flood Control,A,https://pwd.delhi.gov.in/waterlogging-hotspots-2021,PWD identified Dwarka Mor as one of the 147 critical waterlogging hotspots in Delhi.,1,exact,Yes,,Historical PWD hotspot baseline record.
DWK-MOR-2026-01,2026-08-08,Dwarka Mor Metro Crossing,Mor / Sec 3,28.61860,77.03190,intersection,211.2,104.6,Palam,24h observation,42.0,1,38,High,2.5,1,1,0,Delhi Traffic Police,A,https://traffic.delhipolice.gov.in/advisory-aug-2026,Dwarka Mor waterlogged to 38cm depth following 104.6mm rain at Palam observatory.,1,exact,Yes,,Recent 2026 monsoon event record.
DWK-MOR-2026-02,2026-08-26,Dwarka Mor Metro Crossing,Mor / Sec 3,28.61860,77.03190,intersection,211.2,68.0,Palam,24h observation,35.0,1,25,High,1.5,0,1,0,IMD + Local Traffic Updates,A,https://mausam.imd.gov.in/bulletin/20260826,Water depth reached 25cm; traffic movement restricted to single lane.,1,exact,Yes,,Latest August 2026 event record.
DWK-NEG-2024-01,2024-06-28,Dwarka Sector 6 Main Avenue,6,28.59100,77.06100,sector_road,219.5,228.1,Palam,24h extreme event,89.5,0,0,None,0.0,0,0,0,PWD Inspection Baseline,A,https://pwd.delhi.gov.in/inspection-dry-sectors-2024,Negative ML control sample: High elevation sector road remained completely dry and flood-free during 228.1mm rainfall.,0,exact,Yes,,Negative control sample (target_label = 0) for ML model training balance.
DWK-NEG-2024-02,2024-06-28,Dwarka Sector 10 High Ridge Road,10,28.58100,77.05600,sector_road,218.0,228.1,Palam,24h extreme event,89.5,0,0,None,0.0,0,0,0,PWD Inspection Baseline,A,https://pwd.delhi.gov.in/inspection-dry-sectors-2024,Negative ML control sample: Well-drained high ridge road with 0cm water accumulation.,0,exact,Yes,,Negative control sample (target_label = 0) for ML model training balance.
DWK-NEG-2023-01,2023-07-09,Dwarka Sector 22 Ridge Area,22,28.55900,77.05800,sector_road,217.5,153.0,Palam,24h observation,62.0,0,0,None,0.0,0,0,0,PWD Inspection Baseline,A,https://pwd.delhi.gov.in/inspection-dry-sectors-2023,Negative ML control sample: High elevation ridge terrain with no waterlogging observed.,0,exact,Yes,,Negative control sample (target_label = 0) for ML model training balance.

